Key,Context,Original English,Hebrew (Natural),Hebrew (Formal),Hebrew (Concise),Hebrew (Colloquial),Manual Override,Final Translation
btn_save,Standard save button,Save,שמור,שמור,שמור,לשמור,,שמור
btn_cancel,Standard cancel button,Cancel,ביטול,בטל,ביטול,לבטל,,ביטול
btn_delete,Standard delete button,Delete,מחק,מחק,מחק,למחוק,,מחק
btn_edit,Standard edit button,Edit,ערוך,ערוך,עריכה,לערוך,,ערוך
btn_add,Standard add button,Add,הוסף,הוסף,הוסף,להוסיף,,הוסף
btn_close,Standard close button,Close,סגור,סגור,סגור,לסגור,,סגור
btn_confirm,Standard confirm button,Confirm,אישור,אשר,אישור,לאשר,,אישור
btn_back,Standard back button,Back,חזור,חזור,חזור,אחורה,,חזור
btn_export,Standard export button,Export,ייצא,ייצא,ייצוא,לייצא,,ייצא
btn_import,Standard import button,Import,ייבא,ייבא,ייבוא,לייבא,,ייבא
btn_clear_all,Clear all filters or selections,Clear All,נקה הכל,נקה הכל,נקה הכל,לנקות הכל,,נקה הכל
btn_download_template,Download CSV template,Template,תבנית,הורד תבנית,תבנית,טמפלייט,,תבנית
btn_create,Create new item,Create,צור,צור,צור,ליצור,,צור
msg_loading,Loading indicator,Loading...,טוען...,טוען נתונים...,טוען...,בטעינה...,,טוען...
msg_no_data,Empty state message,No data matches current filters.,אין נתונים התואמים לסינונים.,לא נמצאו נתונים התואמים להגדרות הסינון.,אין תוצאות.,אין שום דבר מתאים.,,אין נתונים התואמים לסינונים.
nav_section_operations,Sidebar section header,OPERATIONS,תפעול,תפעול שוטף,תפעול,תפעול,,תפעול
nav_section_management,Sidebar section header,MANAGEMENT,ניהול,ניהול מערכת,ניהול,ניהול,,ניהול
nav_section_analytics,Sidebar section header,ANALYTICS,אנליטיקה,ניתוח נתונים,דוחות,דוחות,,אנליטיקה
nav_section_admin,Sidebar section header,ADMIN,הגדרות מתקדמות,ניהול מתקדם,מתקדם,אדמין,,הגדרות מתקדמות
nav_calendar,Sidebar link,Calendar,לוח שנה,לוח שנה ראשי,לוח שנה,יומן,,לוח שנה
nav_power_tools,Sidebar link,Power Tools,כלים מתקדמים,ניהול אירועים מתקדם,כלים,כלי עריכה,,כלים מתקדמים
nav_gantt,Sidebar link,Semesters & Blackouts,סמסטרים וחופשות,ניהול תקופות לימוד וחופשות,סמסטרים,חופשות וסמסטרים,,סמסטרים וחופשות
nav_teachers,Sidebar link,Teachers & Rates,מורים ותעריפים,ניהול מורים,מורים,צוות הדרכה,,מורים ותעריפים
nav_rooms,Sidebar link,Rooms & Locations,חדרים ומיקומים,ניהול משאבי מבנה,חדרים,חדרים,,חדרים ומיקומים
nav_lists,Sidebar link,Dropdown Lists,רשימות,ניהול תפריטי קטגוריות,רשימות,רשימות בחירה,,רשימות
nav_financial_dash,Sidebar link,Financial Dashboard,דשבורד פיננסי,סקירה פיננסית,כספים,דשבורד כספים,,דשבורד פיננסי
nav_financial_analysis,Sidebar link,Financial Analysis,ניתוח נתונים פיננסיים,ניתוח נתונים מורחב,אנליטיקה,דוחות מפורטים,,ניתוח נתונים פיננסיים
nav_settings,Sidebar link,Settings,הגדרות,הגדרות מערכת,הגדרות,הגדרות,,הגדרות
nav_super_admin,Sidebar link,Super Admin,סופר אדמין,מנהל על,אדמין,ניהול פלטפורמה,,סופר אדמין
nav_sign_out,Sidebar link/button,Sign Out,התנתק,התנתקות מהמערכת,יציאה,יציאה,,התנתק
auth_sign_in_google,Login button,Sign in with Google,התחבר עם גוגל,כניסה למערכת באמצעות חשבון Google,התחבר בגוגל,כניסה עם גוגל,,התחבר עם גוגל
auth_unauthorized,Login error message,Unauthorized User,משתמש לא מורשה,גישה נדחתה: משתמש חסר הרשאות,אין הרשאה,אין לך גישה לכאן,,משתמש לא מורשה
auth_no_access,Login error descriptive,Your account does not have access to the system. Please contact the administrator.,לחשבונך אין גישה למערכת. אנא צור קשר עם מנהל המערכת.,"לחשבון זה אין הרשאות כניסה למערכת. לבירורים, אנא פנה להנהלה.",אין הרשאת כניסה. צור קשר עם ההנהלה.,אין לך הרשאה למערכת. דבר עם המנהל.,,לחשבונך אין גישה למערכת. אנא צור קשר עם מנהל המערכת.
auth_contact_admin,Login unapproved status,Contact system administrator for access approval.,צור קשר עם מנהל המערכת לאישור גישה.,אנא עמוד בקשר עם מפעיל המערכת לקבלת הרשאות מסודרות.,יש לפנות למנהל לאישור.,דבר עם המנהל כדי שיאשר אותך.,,צור קשר עם מנהל המערכת לאישור גישה.
auth_select_workspace,Gateway text,Select Workspace,בחר סביבת עבודה,בחירת מרחב פעילות,בחר סביבה,בחר כניסה,,בחר סביבת עבודה
auth_enter,Gateway button,Enter,היכנס,היכנס למערכת,כניסה,כנס,,היכנס
cal_today,Calendar header button,Today,היום,יום נוכחי,היום,היום,,היום
cal_month,Calendar header button,Month,חודש,תצוגה חודשית,חודש,חודש,,חודש
cal_week,Calendar header button,Week,שבוע,תצוגה שבועית,שבוע,שבוע,,שבוע
cal_day,Calendar header button,Day,יום,תצוגה יומית,יום,יום,,יום
cal_refresh,Calendar action,Refresh Calendar,רענן יומן,רענון יומן אירועים,רענן יומן,לרענן יומן,,רענן יומן
cal_speed_dial,Speed dial tip,Quick Actions,פעולות מהירות,סרגל משימות מהירות,פעולות,פעולות מהירות,,פעולות מהירות
cal_filter_events,Search input placeholder,Filter events...,סנן אירועים...,סינון ותיחום אירועים...,סינון...,חיפוש אירועים,,סנן אירועים...
cal_filter_teacher,Filter label,Filter by Teacher,סננון לפי מורה,"סינון ע""פ צוות הוראה",לפי מורה,לפי מורה,,סננון לפי מורה
cal_filter_room,Filter label,Filter by Room,סנן לפי חדר,"סינון ע""פ פריסת חדרים",לפי חדר,לפי חדר,,סנן לפי חדר
cal_filter_category,Filter label,Filter Category,סנן לפי קטגוריה,"סינון ע""פ קטגוריה",לפי קטגוריה,לפי קטגוריה,,סנן לפי קטגוריה
cal_filter_tag,Filter label,Filter Tag,סנן לפי תגית,"סינון ע""פ תגית מיון",לפי תגית,לפי תגית,,סנן לפי תגית
cal_show_canceled,Checkbox label,Show Canceled,הצג מבוטלים,הצג אירועי ביטול,הצג מבוטלים,כולל מבוטלים,,הצג מבוטלים
cal_all_teachers,Dropdown default,All Teachers,כל המורים,תצוגת סך צוות ההוראה,כל המורים,כל המורים,,כל המורים
cal_all_rooms,Dropdown default,All Rooms,כל החדרים,תצוגת סך החדרים,כל החדרים,כל החדרים,,כל החדרים
cal_event_add,Modal title,Add Event,הוסף אירוע,יצירת אירוע חדש ביומן,אירוע חדש,הוספת אירוע,,הוסף אירוע
cal_event_edit,Modal title,Edit Event,ערוך אירוע,עריכת נתוני אירוע,עריכה,עריכת אירוע,,ערוך אירוע
modal_event_title,Input label,Event Title,כותרת האירוע,שם אירוע הליבה,כותרת,שם האירוע,,כותרת האירוע
modal_students,Input label,Student(s),תלמיד(ים),הרכב תלמידים משתתפים,תלמידים,תלמידים,,תלמיד(ים)
modal_start_time,Input label,Start,התחלה,מועד תחילת הפעילות,התחלה,התחלה,,התחלה
modal_end_time,Input label,End,סיום,מועד סיום הפעילות,סיום,סיום,,סיום
modal_select_room,Dropdown label,Select Room,בחר חדר,הקצאת חדר פעילות,בחר חדר,בחר חדר,,בחר חדר
modal_select_teacher,Dropdown label,Select Teacher,בחר מורה,בחירת איש צוות,מורה,מי המורה,,בחר מורה
modal_select_pos,Dropdown label,Select Position,בחר תפקיד,בחירת תחום עיסוק/תפקיד,תפקיד,איזה תפקיד,,בחר תפקיד
modal_color,Input label,Color,צבע,סיווג צבע לישות,צבע,צבע,,צבע
modal_payment_method,Input label,Payment Method,שיטת תשלום,אופן חישוב שכר/עלות,תשלום,איך משלמים,,שיטת תשלום
modal_pay_standard,Payment opt,Standard Rate,תעריף רגיל,הזנת תעריף תקין,תעריף רגיל,תעריף רגיל,,תעריף רגיל
modal_pay_one_off,Payment opt,One-off Special Rate,תעריף חד פעמי מיוחד,תשלום תעריף חריג,חד פעמי,תשלום חד פעמי,,תעריף חד פעמי מיוחד
modal_pay_none,Payment opt,No Additional Payment,ללא תשלום נוסף,רכיב ללא עלות נוספת,ללא תשלום,בלי תשלום,,ללא תשלום נוסף
modal_rate_value,Input label,Rate Value,ערך התעריף,סכום התעריף לחיוב,תעריף,סכום,,ערך התעריף
modal_status_canceled,Checkbox label,Is Canceled?,מבוטל?,האם האירוע בסטטוס ביטול?,מבוטל,התבטל?,,מבוטל?
