Area,#,Check Item,Status,Result,Notes
1. Calendar (Core),1,Create a new event — verify all form fields render correctly,☐,,
1. Calendar (Core),2,Edit an existing event — confirm pre-populated values,☐,,
1. Calendar (Core),3,Delete an event — confirm removal from calendar and linked data,☐,,
1. Calendar (Core),4,Switch between Day / Week / Month views — layout renders correctly,☐,,
1. Calendar (Core),5,Drag-and-drop events — verify date updates correctly,☐,,
1. Calendar (Core),6,Events marked isHidden do NOT appear on calendar — Gantt bar stays visible,☐,,Requires Hide Blackouts toggle on
2. Event Form,7,Timezone check works,☐,,Requires live Firebase + browser
2. Event Form,8,Cancellation pay status options appear when cancelling,☐,,
3. Gantt View,9,Gantt blocks display correct time ranges,☐,,
3. Gantt View,10,Blackout Gantt blocks remain visible even when Hide Blackouts toggle is off,☐,,
4. Navigation & Layout,11,All nav items render and route correctly,☐,,
4. Navigation & Layout,12,RTL layout works correctly — switch to Hebrew,☐,,
4. Navigation & Layout,13,Dark mode toggle — all views render properly,☐,,
4. Navigation & Layout,14,Mobile menu opens and closes,☐,,
4. Navigation & Layout,15,Sidebar collapse/expand works,☐,,
4. Navigation & Layout,16,Documents nav item appears and navigates to Document Repository,☐,,
5. Manage Hub,17,Teachers: CRUD operations (create / read / update / delete),☐,,
5. Manage Hub,18,Student Manager v2: list shows 12 students after applying template,☐,,Seeded by applyTemplate()
5. Manage Hub,19,Rooms: CRUD operations,☐,,
5. Manage Hub,20,Lists: add / edit / remove list items,☐,,
5. Manage Hub,21,Inline subcategory creator works,☐,,
6. Financial,22,Switch between Dashboard and Analysis tabs,☐,,
6. Financial,23,Saved charts persist after page reload,☐,,
6. Financial,24,Hours comparison view renders,☐,,
7. Settings,25,Google Calendar import button triggers OAuth flow,☐,,Requires OAuth
7. Settings,26,Calendar subscription management works,☐,,
7. Settings,27,Language switch (en-US to he-IL) applies globally,☐,,
8. Admin Inbox,28,Teacher detail modal: shows avatar / contact / positions / tags,☐,,
8. Admin Inbox,29,Teacher detail modal: 'Go to full profile' navigates to Staff Manager,☐,,
8. Admin Inbox,30,STUDENT task 'view' button opens inline student detail modal,☐,,
8. Admin Inbox,31,Student detail modal: shows guardian and notes,☐,,
8. Admin Inbox,32,Inbox items are actionable (mark done / mark resolved),☐,,
9. Document Repository,33,Page loads with correct tabs (teachers / students / reports / charts),☐,,
9. Document Repository,34,Search filters documents correctly,☐,,
9. Document Repository,35,Grid/list view toggle works,☐,,
9. Document Repository,36,Documents from all sources aggregate properly,☐,,
10. DevTools — Test Templates,37,Each template: wipes data → generates dataset → sets simulation → navigates to target view,☐,,
10. DevTools — Test Templates,38,Calendar Happy Path: navigates to CALENDAR with teachers / rooms / activities / events,☐,,
10. DevTools — Test Templates,39,Room Conflicts: generates deliberate double-bookings visible as amber conflict icons,☐,,
10. DevTools — Test Templates,40,Financial Dashboard: navigates to FINANCIAL at month-end with hours reports + charts,☐,,
10. DevTools — Test Templates,41,Student Manager template: 12 students appear in StudentManager v2 list,☐,,
10. DevTools — Test Templates,42,Staff Manager template: 25 staff appear in StaffMemberManager v2 list,☐,,
10. DevTools — Test Templates,43,Admin Inbox template: pre-seeded inbox items appear with STUDENT + TEACHER tasks,☐,,
10. DevTools — Test Templates,44,Gantt View template: 15 Gantt blocks render + some events hidden by blackouts,☐,,
10. DevTools — Test Templates,45,First Admin Onboarding template: empty state + Pre-Gate role sim + banner shows,☐,,
10. DevTools — Test Templates,46,Full Stress Test template: all data modules populated + navigates to CALENDAR,☐,,
10. DevTools — Test Templates,47,Applying any template wipes v2 Firestore before seeding,☐,,staffMembers / teachingAssignments / students / enrollments
11. DevTools — Date Simulator,48,Relative jump buttons (−30d to +90d) shift the calendar date correctly,☐,,
11. DevTools — Date Simulator,49,Scenario jumps (Month End / Quarter End / New Year / Sep 1) land on correct dates,☐,,
11. DevTools — Date Simulator,50,Custom date picker sets the simulated date correctly,☐,,
11. DevTools — Date Simulator,51,Active simulation date shown in violet banner (date + 'Reset to today' link),☐,,
11. DevTools — Date Simulator,52,Reset to today clears simulated date,☐,,
12. DevTools — Role Simulator,53,All 5 role presets render as selectable cards,☐,,
12. DevTools — Role Simulator,54,Activating a preset changes visible nav / permissions in the app,☐,,
12. DevTools — Role Simulator,55,Clicking active preset again deactivates it,☐,,
12. DevTools — Role Simulator,56,'Exit All Simulations' clears both date and role simulations,☐,,
12. DevTools — Role Simulator,57,Real SUPERADMIN nav item stays visible while simulating a lower role,☐,,
12. DevTools — Role Simulator,58,Viewer role: edit actions are hidden / disabled,☐,,
13. DevTools — Granular Regen,59,Disclosure chevron rotates when section is expanded,☐,,
13. DevTools — Granular Regen,60,Each regen button (teachers / events / charts / reports / inbox / students) works independently,☐,,
14. SuperAdmin,61,Wipe Data confirmation dialog appears before wiping,☐,,
14. SuperAdmin,62,Power Tools sidebar opens without layout issues,☐,,
14. SuperAdmin,63,CSV Import modal works,☐,,
14. SuperAdmin,64,Export scope modal works,☐,,
15. Onboarding,65,Checklist appears for new orgs,☐,,
15. Onboarding,66,Steps complete and persist across reload,☐,,
15. Onboarding,67,Guide Me button navigates correctly,☐,,
16. Firestore Sync,68,Data persists across page reloads,☐,,Requires live Firebase
16. Firestore Sync,69,Multiple tabs don't cause data conflicts,☐,,Requires live Firebase
17. Cross-Cutting,70,No console errors on any view,☐,,
17. Cross-Cutting,71,RTL consistent across all components,☐,,
17. Cross-Cutting,72,No z-index stacking issues (modals / dropdowns / sidebars / DevSimulationBanner),☐,,
